company_name,company_id,locations,industries,size,description,tags,twitter,company_page,job_page,logo_link
"Modern Animal, Inc.",15000208,"Culver City, CA",Veterinary,"{'name': 'Medium Size', 'short_name': 'medium'}",,,,https://www.themuse.com/companies/modernanimalinc,https://www.themuse.com/search/jobs/c-modernanimalinc,https://assets.themuse.com/uploaded/companies/15000208/small_logo.png
Redesign Health,15000191,"New York, NY",Healthcare;Healthtech,"{'name': 'Medium Size', 'short_name': 'medium'}",,,,https://www.themuse.com/companies/redesignhealth,https://www.themuse.com/search/jobs/c-redesignhealth,https://assets.themuse.com/uploaded/companies/15000191/small_logo.png
Santander Holdings USA Inc,15000549,,,"{'name': 'Large Size', 'short_name': 'large'}",,,,https://www.themuse.com/companies/santanderholdingsusainc,https://www.themuse.com/search/jobs/c-santanderholdingsusainc,https://assets.themuse.com/uploaded/companies/15000549/small_logo.png
Ava Labs,15000201,"Manhattan, NY",Software,"{'name': 'Medium Size', 'short_name': 'medium'}",,,,https://www.themuse.com/companies/avalabs,https://www.themuse.com/search/jobs/c-avalabs,https://assets.themuse.com/uploaded/companies/15000201/small_logo.png
WithumSmith+Brown,15000207,"Princeton, NJ",Accounting,"{'name': 'Large Size', 'short_name': 'large'}",,,,https://www.themuse.com/companies/withumsmithbrown,https://www.themuse.com/search/jobs/c-withumsmithbrown,https://assets.themuse.com/uploaded/companies/15000207/small_logo.png
Designit,15000194,"New York, NY",Advertising and Agencies;Client Services,"{'name': 'Large Size', 'short_name': 'large'}",,,,https://www.themuse.com/companies/designit,https://www.themuse.com/search/jobs/c-designit,https://assets.themuse.com/uploaded/companies/15000194/small_logo.png
"SNS One, Inc.",15000192,"Crofton, MD",Information Technology,"{'name': 'Small Size', 'short_name': 'small'}",,,,https://www.themuse.com/companies/snsoneinc,https://www.themuse.com/search/jobs/c-snsoneinc,https://assets.themuse.com/uploaded/companies/15000192/small_logo.png
Celonis,15000205,"Munich, Germany",Software,"{'name': 'Large Size', 'short_name': 'large'}",,,,https://www.themuse.com/companies/celonis,https://www.themuse.com/search/jobs/c-celonis,https://assets.themuse.com/uploaded/companies/15000205/small_logo.png
Shapeways,15000193,"New York, NY",Manufacturing,"{'name': 'Medium Size', 'short_name': 'medium'}",,,,https://www.themuse.com/companies/shapeways,https://www.themuse.com/search/jobs/c-shapeways,https://assets.themuse.com/uploaded/companies/15000193/small_logo.png
hims & hers,15000217,"San Francisco, CA",Consumer Goods & Services;Healthcare;Pharmaceutical,"{'name': 'Large Size', 'short_name': 'large'}",,,,https://www.themuse.com/companies/himshers,https://www.themuse.com/search/jobs/c-himshers,https://assets.themuse.com/uploaded/companies/15000217/small_logo.png
Exadel,15000196,"Walnut Creek, CA",Software;Technology,"{'name': 'Large Size', 'short_name': 'large'}",,,,https://www.themuse.com/companies/exadel,https://www.themuse.com/search/jobs/c-exadel,https://assets.themuse.com/uploaded/companies/15000196/small_logo.png
Soho House,15000216,"London, United Kingdom",Consumer Goods & Services;Food & Beverage;Travel and Hospitality,"{'name': 'Large Size', 'short_name': 'large'}",,,,https://www.themuse.com/companies/sohohouse,https://www.themuse.com/search/jobs/c-sohohouse,https://assets.themuse.com/uploaded/companies/15000216/small_logo.png
Udemy,11930,"Ankara, Turkey;Denver, CO;Dublin, Ireland;San Francisco, CA",Education;Technology,"{'name': 'Medium Size', 'short_name': 'medium'}",Udemy improves lives through learning. ,,,https://www.themuse.com/companies/udemy,https://www.themuse.com/search/jobs/c-udemy,https://assets.themuse.com/uploaded/companies/11930/small_logo.png?v=fba9351cdcd5c5d72be2acd556a2da0a21def598e3e3509de23ba3b58b2979ef
AB Tasty,11719,"Cologne, Germany;London, United Kingdom;Madrid, Spain;New York, NY;Paris, France;San Francisco, CA;Singapore",Technology,"{'name': 'Medium Size', 'short_name': 'medium'}","AB Tasty offers an expandable tool for website and conversion rate optimization, personalization, and user engagement.",,,https://www.themuse.com/companies/abtasty,https://www.themuse.com/search/jobs/c-abtasty,https://assets.themuse.com/uploaded/companies/11719/small_logo.png?v=507012906717a71d488e3fd4fc71f8d5a6a210152a0459656126c6eae7f9bb39
Siemens,11913,"Munich, Germany",Engineering;Manufacturing;Technology,"{'name': 'Large Size', 'short_name': 'large'}","From digitalization to automation, we’re changing the cities you live in and the places you work.",,,https://www.themuse.com/companies/siemens,https://www.themuse.com/search/jobs/c-siemens,https://assets.themuse.com/uploaded/companies/11913/small_logo.png?v=ee0654ae2f22c06b68799f5aa721274c53e2d698539eafdb28979f25c673fb5e
Bank of America,12145,"Charlotte, NC",Financial Services,"{'name': 'Large Size', 'short_name': 'large'}","Bank of America provides people, companies, and institutional investors with industry-leading financial products and services. ",,,https://www.themuse.com/companies/bankofamerica,https://www.themuse.com/search/jobs/c-bankofamerica,https://assets.themuse.com/uploaded/companies/12145/small_logo.png?v=99e0494ccb185d77ecfeca617e25b8e7f7da7b92ff38f7c52d20148a2be3a74f
Adyen,15000210,"Amsterdam, Netherlands",Financial Services,"{'name': 'Large Size', 'short_name': 'large'}",,,,https://www.themuse.com/companies/adyen,https://www.themuse.com/search/jobs/c-adyen,https://assets.themuse.com/uploaded/companies/15000210/small_logo.png
Booking.com,1190,"Amsterdam, Netherlands;Bellevue, WA;New York, NY;San Francisco, CA;Seattle, WA",Consumer Goods & Services;Technology;Travel and Hospitality,"{'name': 'Large Size', 'short_name': 'large'}","Empowering people to experience the world is the Booking.com mission. It’s why they tell their customers, “Whatever you want to do, wherever you want to go, you can book it with us.”",,planetbooking,https://www.themuse.com/companies/bookingcom,https://www.themuse.com/search/jobs/c-bookingcom,https://assets.themuse.com/uploaded/companies/1190/small_logo.png?v=99e663cf096a07a5265f144f49df652df297698be92c6e0b0030c49436d52eb1
Merge,15000186,"San Francisco, CA",Software;Technology,"{'name': 'Medium Size', 'short_name': 'medium'}",,,,https://www.themuse.com/companies/merge,https://www.themuse.com/search/jobs/c-merge,https://assets.themuse.com/uploaded/companies/15000186/small_logo.png
